alp	id	name
PER	604	Peru
PHL	608	Philippines
PCN	612	Pitcairn
POL	616	Poland
PRT	620	Portugal
GNB	624	Guinea-Bissau
TLS	626	Timor-Leste
PRI	630	Puerto Rico
QAT	634	Qatar
REU	638	Réunion
ROU	642	Romania
RUS	643	Russian Federation
RWA	646	Rwanda
BLM	652	Saint Barthélemy
SHN	654	Saint Helena, Ascension and Tristan da Cunha
KNA	659	Saint Kitts and Nevis
AIA	660	Anguilla
LCA	662	Saint Lucia
MAF	663	Saint Martin (French part)
SPM	666	Saint Pierre and Miquelon
VCT	670	Saint Vincent and the Grenadines
SMR	674	San Marino
STP	678	Sao Tome and Principe
SAU	682	Saudi Arabia
SEN	686	Senegal
SRB	688	Serbia
SYC	690	Seychelles
SLE	694	Sierra Leone
SGP	702	Singapore
SVK	703	Slovakia
VNM	704	Viet Nam
SVN	705	Slovenia
SOM	706	Somalia
ZAF	710	South Africa
ZWE	716	Zimbabwe
ESP	724	Spain
SSD	728	South Sudan
SDN	729	Sudan
ESH	732	Western Sahara
SUR	740	Suriname
SJM	744	Svalbard and Jan Mayen
	748	Swaziland
SWE	752	Sweden
CHE	756	Switzerland
SYR	760	Syrian Arab Republic
TJK	762	Tajikistan
THA	764	Thailand
TGO	768	Togo
TKL	772	Tokelau
TON	776	Tonga
TTO	780	Trinidad and Tobago
ARE	784	United Arab Emirates
TUN	788	Tunisia
TUR	792	Turkey
TKM	795	Turkmenistan
TCA	796	Turks and Caicos Islands
TUV	798	Tuvalu
UGA	800	Uganda
UKR	804	Ukraine
MKD	807	Macedonia, the former Yugoslav Republic of
EGY	818	Egypt
GBR	826	United Kingdom
GGY	831	Guernsey
JEY	832	Jersey
IMN	833	Isle of Man
TZA	834	Tanzania, United Republic of
USA	840	United States
VIR	850	Virgin Islands, U.S.
BFA	854	Burkina Faso
URY	858	Uruguay
UZB	860	Uzbekistan
VEN	862	Venezuela, Bolivarian Republic of
WLF	876	Wallis and Futuna
WSM	882	Samoa
YEM	887	Yemen
ZMB	894	Zambia
